,paper,year,month,title,author,code,prog
18000,18014,2012,April,"Riester Pensions in Germany: Design, Dynamics, Targetting Success and Crowding-In","['Anette Reil-Held', 'Axel H Boersch-Supan', 'Michela Coppola']",w18014,['Economics of Aging']
18001,18015,2012,April,Debt Overhangs: Past and Present,"['Carmen M Reinhart', 'Kenneth S Rogoff', 'Vincent R Reinhart']",w18015,"['International Finance and Macroeconomics', 'Monetary Economics']"
18002,18016,2012,April,Empowering Women Through Education: Evidence from Sierra Leone,"['Colin Cannonier', 'Naci H Mocan']",w18016,"['Children', 'Economics of Education', 'Health Economics']"
18003,18017,2012,April,Toward an Understanding of Learning by Doing: Evidence from an Automobile Assembly Plant,"['Chad Syverson', 'John A List', 'Steven D Levitt']",w18017,"['Industrial Organization', 'Productivity, Innovation, and Entrepreneurship']"
18004,18018,2012,April,Sales Taxes and Internet Commerce,"['Dan Knoepfle', 'Jonathan D Levin', 'Liran Einav', 'Neel Sundaresan']",w18018,"['Industrial Organization', 'International Trade and Investment', 'Law and Economics', 'Public Economics']"
18005,18019,2012,April,"The demand for, and consequences of, formalization among informal firms in Sri Lanka","['Christopher Woodruff', 'David McKenzie', 'Suresh De Mel']",w18019,"['Productivity, Innovation, and Entrepreneurship']"
18006,18020,2012,April,Why Do Firms Own Production Chains?,"['Ali Hortacsu', 'Chad Syverson', 'Enghin Atalay']",w18020,"['Industrial Organization', 'Productivity, Innovation, and Entrepreneurship']"
18007,18021,2012,April,"Banks, Free Banks, and U.S. Economic Growth","['Matthew S Jaremski', 'Peter L Rousseau']",w18021,"['Development of the American Economy', 'Monetary Economics']"
18008,18022,2012,April,"Equilibrium Labor Turnover, Firm Growth and Unemployment","['Dale T Mortensen', 'Melvyn G Coles']",w18022,['Economic Fluctuations and Growth']
18009,18023,2012,April,The Impact of Patient Cost-Sharing on the Poor: Evidence from Massachusetts,"['Amitabh Chandra', 'Jonathan Gruber', 'Robin McKnight']",w18023,['Health Care']
18010,18024,2012,April,Winning by Losing: Evidence on the Long-Run Effects of Mergers,"['Enrico Moretti', 'Florian S Peters', 'Ulrike Malmendier']",w18024,"['Asset Pricing', 'Corporate Finance']"
18011,18025,2012,April,The Impact of Health Information Technology on Hospital Productivity,"['Jeffrey S McCullough', 'Jinhyung Lee', 'Robert J Town']",w18025,"['Health Care', 'Productivity, Innovation, and Entrepreneurship']"
18012,18026,2012,April,The Impact of the 2009 Federal Tobacco Excise Tax Increase on Youth Tobacco Use,"['Frank J Chaloupka, IV', 'Jidong Huang']",w18026,['Health Economics']
18013,18027,2012,April,The Anatomy of a Credit Crisis: The Boom and Bust in Farm Land Prices in the United States in the 1920s.,"['Raghuram G Rajan', 'Rodney Ramcharan']",w18027,"['Corporate Finance', 'Development of the American Economy', 'Monetary Economics']"
18014,18028,2012,May,Developing countries' financial vulnerability to the euro crisis: An event study of equity and bond markets,"['Donghyun Park', 'Joshua Aizenman', 'Minsoo Lee', 'Yothin Jinjarak']",w18028,['International Finance and Macroeconomics']
18015,18029,2012,May,Testing Motives for Charitable Giving: A Revealed-Preference Methodology with Experimental Evidence,"['Matthew J Kotchen', 'Rahul Deb', 'Robert S Gazzale']",w18029,"['Environment and Energy Economics', 'Public Economics']"
18016,18030,2012,May,"Misallocation, Property Rights, and Access to Finance: Evidence from Within and Across Africa","['Bent E Sorensen', 'Sebnem Kalemli-Ozcan']",w18030,['International Finance and Macroeconomics']
18017,18031,2012,May,Prudential Policy for Peggers,"['Martin Uribe', 'Stephanie Schmitt-Grohe']",w18031,"['Economic Fluctuations and Growth', 'International Finance and Macroeconomics', 'Monetary Economics']"
18018,18032,2012,May,Comovement in GDP Trends and Cycles Among Trading Partners,"['Bruce A Blonigen', 'Jeremy Piger', 'Nicholas Sly']",w18032,"['International Finance and Macroeconomics', 'International Trade and Investment']"
