id,saleprice
2658,184779.54300448552
2718,163201.02222980306
2414,219300.51388840223
1989,97945.4952875397
625,173230.37671488887
333,72983.9212447289
1327,85214.9082167569
858,162407.2841557842
95,171740.32629312782
1568,148478.12098443956
2482,149977.1460893807
1364,115483.89187045814
2584,134626.1974330402
818,226950.5827799817
2673,153125.64569850036
2089,111186.08760955562
1297,124372.69748676509
790,103581.53877840927
2616,189985.9957852049
720,224615.49190646724
222,135050.6621198163
557,101755.10115551505
1148,178502.1113138892
2766,137746.28504832834
534,181402.96019917773
1452,104959.85019829942
630,111099.7124192442
2648,174551.101180424
125,162399.73776930862
1904,48666.70767483773
1670,76192.38157773612
756,81946.44323670387
717,242448.51781029912
1032,156492.52237095416
852,206829.90525342998
1731,181301.7579359664
2639,148840.60015348415
2071,90527.57768806258
1267,111176.77150306139
1851,182828.29627550612
567,163693.4317200166
2439,206244.84282335668
1898,145945.62989449542
647,133764.48414646386
2256,221117.5583483679
979,79709.52131954525
1444,211194.57366870905
2485,103273.43121053647
157,97314.86558533004
88,113903.23825699821
2003,104399.35652540885
186,243403.673355893
1425,233251.80549516878
2695,121527.5654483625
738,102742.77308727927
395,147306.18276688948
1353,175390.16531411407
1878,125818.35855564763
390,138803.27954033262
1456,218197.09594256998
1103,312354.6850375848
1387,138378.74275769223
2070,131902.6009713447
1199,170579.57509801252
2479,175170.51200119883
501,288141.5174002545
2362,74263.05833733728
1718,209763.02839454045
2188,73746.60057793805
1483,133879.7714857377
2557,75797.97995864759
437,364051.7512783631
2224,185833.07438016497
1628,170778.99344758177
397,137561.34129666802
587,203391.6117509154
2182,616626.7978634724
971,140734.34016088935
2611,120137.69779343669
1887,81220.47515367474
2399,381837.1650173672
2148,197252.9348471834
304,107693.98234926125
1997,127608.98323472786
2817,111324.62793786744
1431,175966.75389516802
427,360962.3245173121
263,103627.45803007238
598,181042.19073169635
2895,240055.19119914566
687,138300.86748926542
1822,133064.57749350145
2191,108086.95010454017
179,151977.660394664
1009,241133.74966706557
2010,105944.31507821662
